Dimension,K,Mean_Degree,CV_Degree
17,19,21.79,0.0113
17,20,21.99,0.0093
17,21,22.03,0.0085
17,22,22.08,0.0106
17,23,22.03,0.0115
17,24,22.07,0.0094
17,25,22.12,0.0085
17,26,21.91,0.0109
17,27,21.9,0.0084
17,28,21.81,0.0082
17,29,21.69,0.0091
17,30,21.47,0.0098
17,31,21.42,0.0095
17,32,21.2,0.0083
17,33,21.05,0.0087
17,34,20.93,0.0092
17,35,20.81,0.0094
17,36,20.59,0.0078
17,37,20.4,0.0094
17,38,20.17,0.0098
17,39,20.13,0.0093
17,40,19.82,0.0081
17,41,19.72,0.0096
17,42,19.47,0.0085
17,43,19.3,0.0071
17,44,19.14,0.0092
17,45,18.98,0.0099
17,46,18.78,0.0112
17,47,18.62,0.0107
17,48,18.49,0.008
17,49,18.29,0.0101
18,1,1.77,0.0422
18,2,3.58,0.0104
18,3,5.4,0.0
18,4,7.2,0.0
18,5,8.99,0.0019
18,6,10.74,0.0042
18,7,12.43,0.0054
18,8,14.01,0.0063
18,9,15.43,0.0072
18,10,16.7,0.0087
18,11,17.86,0.0087
18,12,18.82,0.0082
18,13,19.62,0.0089
18,14,20.29,0.0094
18,15,20.87,0.0087
18,16,21.35,0.0093
18,17,21.74,0.0091
18,18,22.03,0.0104
18,19,22.19,0.0112
18,20,22.36,0.0102
18,21,22.46,0.0099
18,22,22.44,0.0089
18,23,22.56,0.009
18,24,22.64,0.01
18,25,22.63,0.0096
18,26,22.5,0.0106
18,27,22.39,0.0118
18,28,22.24,0.0115
18,29,22.14,0.0078
18,30,22.1,0.0107
18,31,21.93,0.0111
18,32,21.76,0.0088
18,33,21.59,0.009
18,34,21.42,0.011
18,35,21.21,0.0094
18,36,21.08,0.0108
18,37,20.91,0.0081
18,38,20.69,0.0097
18,39,20.54,0.0112
18,40,20.34,0.0124
18,41,20.19,0.009
18,42,19.95,0.0086
18,43,19.78,0.0087
18,44,19.58,0.0084
18,45,19.4,0.0079
18,46,19.26,0.0096
18,47,19.1,0.0102
18,48,18.85,0.0081
18,49,18.7,0.0089
19,1,1.78,0.0337
19,2,3.57,0.0147
19,3,5.4,0.0022
19,4,7.2,0.0012
19,5,8.99,0.002
19,6,10.76,0.0035
19,7,12.43,0.0051
19,8,14.03,0.0064
19,9,15.49,0.0066
19,10,16.8,0.0086
19,11,17.94,0.0098
19,12,18.99,0.0092
19,13,19.83,0.0077
19,14,20.61,0.009
19,15,21.16,0.008
19,16,21.62,0.0092
19,17,22.06,0.009
19,18,22.36,0.0097
19,19,22.64,0.0114
19,20,22.8,0.0111
19,21,22.89,0.0086
19,22,23.06,0.01
19,23,23.05,0.0105
19,24,23.03,0.0089
19,25,23.02,0.0113
19,26,22.9,0.0102
19,27,22.86,0.0099
19,28,22.74,0.0109
19,29,22.72,0.0094
19,30,22.56,0.0106
19,31,22.4,0.0114
19,32,22.23,0.0088
19,33,22.06,0.0106
19,34,21.88,0.0079
19,35,21.73,0.0084
19,36,21.52,0.0108
19,37,21.25,0.0106
19,38,21.19,0.0113
19,39,21.04,0.0102
19,40,20.81,0.0105
19,41,20.58,0.0107
19,42,20.47,0.0094
19,43,20.23,0.0082
19,44,20.05,0.0079
19,45,19.89,0.0092
19,46,19.7,0.0087
19,47,19.44,0.01
19,48,19.36,0.0115
19,49,19.13,0.0099
20,1,1.79,0.02
20,2,3.56,0.0153
20,3,5.4,0.0
20,4,7.2,0.0
20,5,8.99,0.002
20,6,10.76,0.0038
20,7,12.46,0.0052
20,8,14.08,0.0051
20,9,15.54,0.0061
20,10,16.91,0.0072
20,11,18.16,0.0061
20,12,19.16,0.0084
20,13,19.99,0.009
20,14,20.79,0.008
20,15,21.42,0.0072
20,16,21.95,0.0099
20,17,22.41,0.0099
20,18,22.67,0.0089
20,19,22.96,0.01
20,20,23.15,0.0095
20,21,23.27,0.0084
20,22,23.4,0.0107
20,23,23.44,0.0094
20,24,23.4,0.0088
20,25,23.4,0.0104
20,26,23.37,0.0106
20,27,23.31,0.0102
20,28,23.14,0.0099
20,29,22.98,0.0104
20,30,22.95,0.0089
20,31,22.77,0.009
20,32,22.64,0.0111
20,33,22.55,0.0086
20,34,22.29,0.0079
20,35,22.12,0.0106
20,36,21.93,0.0103
20,37,21.83,0.0096
20,38,21.62,0.0095
20,39,21.42,0.0112
20,40,21.21,0.0086
20,41,21.0,0.0092
20,42,20.83,0.008
20,43,20.65,0.0096
20,44,20.34,0.0091
20,45,20.23,0.0079
20,46,20.02,0.0097
20,47,19.84,0.008
20,48,19.62,0.0084
20,49,19.5,0.0106
21,1,1.78,0.0337
21,2,3.58,0.0112
21,3,5.4,0.0
21,4,7.2,0.0
21,5,9.0,0.0013
21,6,10.76,0.0035
21,7,12.47,0.0041
21,8,14.11,0.0061
21,9,15.62,0.0059
21,10,17.01,0.0069
21,11,18.16,0.0055
21,12,19.28,0.0073
21,13,20.22,0.0083
21,14,20.98,0.0082
21,15,21.61,0.0076
21,16,22.15,0.0103
21,17,22.69,0.0105
21,18,23.0,0.0104
21,19,23.35,0.0108
21,20,23.51,0.0098
21,21,23.62,0.0111
21,22,23.79,0.0086
21,23,23.85,0.0082
21,24,23.82,0.0074
21,25,23.83,0.0103
21,26,23.74,0.0064
21,27,23.68,0.009
21,28,23.57,0.0102
21,29,23.48,0.0086
21,30,23.41,0.0092
21,31,23.19,0.0102
21,32,23.03,0.0102
21,33,22.9,0.0094
21,34,22.74,0.0091
21,35,22.44,0.0092
21,36,22.37,0.0087
21,37,22.2,0.0099
21,38,21.93,0.0115
21,39,21.81,0.01
21,40,21.58,0.0084
21,41,21.37,0.0095
21,42,21.16,0.0083
21,43,21.01,0.0101
21,44,20.78,0.0074
21,45,20.54,0.009
21,46,20.42,0.0086
21,47,20.14,0.0067
21,48,20.0,0.0089
21,49,19.79,0.0077
22,1,1.79,0.0279
22,2,3.59,0.0095
22,3,5.4,0.0
22,4,7.2,0.0
22,5,8.99,0.0019
22,6,10.77,0.0032
22,7,12.5,0.0055
22,8,14.14,0.0059
22,9,15.68,0.0065
22,10,17.06,0.0064
22,11,18.29,0.0061
22,12,19.41,0.0061
22,13,20.37,0.0073
22,14,21.19,0.006
22,15,21.88,0.009
22,16,22.38,0.0079
22,17,22.95,0.0069
22,18,23.29,0.01
22,19,23.59,0.008
22,20,23.84,0.011
22,21,23.98,0.0088
22,22,24.1,0.0094
22,23,24.15,0.0094
22,24,24.2,0.0083
22,25,24.14,0.0105
22,26,24.14,0.0084
22,27,24.06,0.0067
22,28,23.91,0.0086
22,29,23.83,0.0112
22,30,23.71,0.0089
22,31,23.57,0.0091
22,32,23.41,0.0086
22,33,23.26,0.0075
22,34,23.0,0.008
22,35,22.93,0.0074
22,36,22.71,0.0089
22,37,22.46,0.0091
22,38,22.3,0.0088
22,39,22.1,0.009
22,40,21.89,0.009
22,41,21.76,0.0079
22,42,21.48,0.0088
22,43,21.33,0.0079
22,44,21.08,0.0094
22,45,20.93,0.0096
22,46,20.72,0.0086
